book_id,title,author,price,stock,category
9780002005883,Gilead,Marilynne Robinson,167000,8,Fiction
9780002261982,Spider's Web,Charles Osborne;Agatha Christie,348000,16,Detective and mystery stories
9780006178736,Rage of angels,Sidney Sheldon,334000,5,Fiction
9780006280897,The Four Loves,Clive Staples Lewis,109000,14,Christian life
9780006280934,The Problem of Pain,Clive Staples Lewis,172000,9,Christian life
9780006380832,Empires of the Monsoon,Richard Hall,215000,20,Africa
9780006470229,The Gap Into Madness,Stephen R. Donaldson,203000,18,Hyland
9780006472612,Master of the Game,Sidney Sheldon,187000,9,Adventure stories
9780006482079,Warhost of Vastmark,Janny Wurts,253000,15,Fiction
9780006483014,The Once and Future King,Terence Hanbury White,175000,6,Arthurian romances
9780006483892,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,319000,12,Adventure stories
9780006483908,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,184000,9,Fantasy fiction
9780006486145,Well of Darkness,Margaret Weis;Tracy Hickman,105000,16,Unknown Category
9780006490456,Witness for the Prosecution & Selected Plays,Agatha Christie,147000,14,English drama
9780006496434,The Little House,Philippa Gregory,132000,6,Country life
9780006496878,Mystical Paths,Susan Howatch,213000,16,English fiction
9780006496892,Glittering Images,Susan Howatch,128000,18,English fiction
9780006496922,Glamorous Powers,Susan Howatch,176000,17,Clergy
9780006498865,The Mad Ship,Robin Hobb,202000,18,Fantasy fiction
9780006499169,Post Captain,Patrick O'Brian,129000,19,Aubrey
9780006499268,The Reverse of the Medal,Patrick O'Brian,178000,18,Adventure stories
9780006499626,Miss Marple,Agatha Christie,322000,9,Detective and mystery stories
9780006511489,The Years of Rice and Salt,Kim Stanley Robinson,321000,15,Black Death
9780006512677,Spares,Michael Marshall Smith,170000,9,Human cloning
9780006513087,Gravity,Tess Gerritsen,301000,16,Science fiction
9780006514640,The Wise Woman,Philippa Gregory,170000,14,Great Britain
9780006514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,304000,16,American fiction
9780006545866,The White Album,Joan Didion,151000,18,American essays
9780006551393,The Lexus and the Olive Tree,Thomas L. Friedman,283000,16,Capitalism
9780006551812,'Tis,Frank McCourt,196000,6,Ireland
9780006646006,Ocean Star Express,Mark Haddon;Peter Sutton,377000,16,Juvenile Fiction
9780007105045,Tree and Leaf,John Ronald Reuel Tolkien,309000,16,Literary Collections
9780007111503,Partners in Crime,Agatha Christie,384000,17,Beresford
9780007113804,Murder in Mesopotamia,Agatha Christie,211000,18,Detective and mystery stories
